fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.6024728816745265,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,5,0
2,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.787732206676917,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
3,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.8225806346910457,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
4,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.7154950499830691,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
5,sub-07,rh-pericalcarine,0.625,0.31622776601683794,0.4,0.5640527621886994,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,0
6,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.6457805208192169,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,4,0
7,sub-07,rh-pericalcarine,0.3333333333333333,-0.16666666666666666,0.4,0.852140923972331,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,2,1
8,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.5923847683656444,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,7,0
9,sub-07,rh-pericalcarine,0.55,0.13483997249264842,0.18181818181818182,0.6272330055452265,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,9,0
10,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.9750283271521839,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
11,sub-07,rh-pericalcarine,0.6666666666666666,0.4082482904638631,0.5,0.6201567957853596,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,0
12,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.825700907540508,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
13,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.7985877541846659,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
14,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.7215746268294173,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,4,0
15,sub-07,rh-pericalcarine,0.5625,0.16666666666666666,0.2222222222222222,0.5500507339367543,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,7,0
16,sub-07,rh-pericalcarine,0.4090909090909091,0.17766726362967536,0.7999999999999999,0.5750439073862755,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,8,3,1
17,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.7604641111457644,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
18,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.6057428647153109,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,3,0
19,sub-07,rh-pericalcarine,0.45,0.25819888974716115,0.8421052631578948,0.5929785913347186,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,8,2,1
20,sub-07,rh-pericalcarine,0.4166666666666667,0.14907119849998599,0.7272727272727272,0.6064572844002591,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,4,2,1
21,sub-07,rh-pericalcarine,0.5,0.2182178902359924,0.2857142857142857,0.6296870646277363,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,5,0
22,sub-07,rh-pericalcarine,0.6666666666666666,0.4082482904638631,0.5,0.6300181485790823,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,0
23,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.6127361762439625,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,4,0
24,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.6821175643403996,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
25,sub-07,rh-pericalcarine,0.75,0.5773502691896258,0.6666666666666666,0.6704280995431074,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,0
26,sub-07,rh-pericalcarine,0.5,0.10482848367219183,0.14285714285714288,0.5042691728163848,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,12,0
27,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.6564773544221285,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,3,0
28,sub-07,rh-pericalcarine,0.0,-0.5,0.0,1.0012773497855647,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
29,sub-07,rh-pericalcarine,0.625,0.31622776601683794,0.4,0.5654797884417806,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,0
30,sub-07,rh-pericalcarine,0.6,0.2581988897471611,0.33333333333333337,0.5431075359931643,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,4,0
31,sub-07,rh-pericalcarine,0.6111111111111112,0.2222222222222222,0.3636363636363636,0.4860616667919071,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,2,7,0
32,sub-07,rh-pericalcarine,0.0,-0.5,0.0,1.025859826510744,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
33,sub-07,rh-pericalcarine,0.75,0.4472135954999579,0.6666666666666666,0.5561129642065835,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,3,3,0
34,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.5864308779095899,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,7,0
35,sub-07,rh-pericalcarine,0.55,0.2,0.33333333333333337,0.576009553705159,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,2,8,0
36,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.7628839680582506,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,5,0
37,sub-07,rh-pericalcarine,0.45,0.15811388300841897,0.7777777777777777,0.6638193804365443,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,7,3,1
38,sub-07,rh-pericalcarine,0.75,0.5773502691896258,0.6666666666666666,0.6599820434127088,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,0
39,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.5959287516518447,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,12,0
40,sub-07,rh-pericalcarine,0.7,0.4,0.5714285714285715,0.5895680875776851,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,2,3,0
41,sub-07,rh-pericalcarine,0.6111111111111112,0.2222222222222222,0.3636363636363636,0.5208335178548533,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,2,7,0
42,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.5390836147087273,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,5,0
43,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.6525494773420722,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,5,0
44,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.9406526116965461,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,0
45,sub-07,rh-pericalcarine,1.0,0.0,0.0,0.828285961007025,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,0
46,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.8119965707676166,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,0
47,sub-07,rh-pericalcarine,0.5,0.25,0.4,0.567356130232266,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,3,0
48,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.7406821065416244,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,4,0
49,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.8930308514962545,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,0
50,sub-07,rh-pericalcarine,0.14285714285714285,0.14285714285714285,0.25,0.5540046126289213,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,6,0
51,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.68983362105469,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,10,0
52,sub-07,rh-pericalcarine,0.0,0.0,0.0,1.0017594304962414,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,0
53,sub-07,rh-pericalcarine,0.3333333333333333,0.3333333333333333,0.5,0.5809842222837535,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,2,0
54,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.9858643269538718,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,0
55,sub-07,rh-pericalcarine,0.0,0.0,0.0,1.0602722217331404,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,0
56,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.7210847968352807,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,4,0
57,sub-07,rh-pericalcarine,0.125,0.125,0.2222222222222222,0.5814054930235193,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,7,0
58,sub-07,rh-pericalcarine,0.18181818181818182,0.13483997249264842,0.3076923076923077,0.5458997591734766,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,2,9,0
59,sub-07,rh-pericalcarine,1.0,0.0,0.0,0.7917162007909844,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,0
60,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.6617615479455359,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,0
61,sub-07,rh-pericalcarine,0.2,0.14907119849998599,0.33333333333333337,0.5448677480789142,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,2,8,0
62,sub-07,rh-pericalcarine,0.3333333333333333,0.2581988897471611,0.5,0.5348091691057619,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,2,4,0
63,sub-07,rh-pericalcarine,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.6589614978934045,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,5,0
64,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.7479296827233355,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,0
65,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.6424954078240359,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,4,0
66,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.6983352810358706,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,0
67,sub-07,rh-pericalcarine,0.5,0.0,0.0,0.8526706873468605,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,0
68,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.5332681891866534,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,13,0
69,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.7207951308731668,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,0
70,sub-07,rh-pericalcarine,0.0,0.0,0.0,1.13987519282029,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,0
71,sub-07,rh-pericalcarine,0.5,0.25,0.4,0.5908217640591925,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,3,0
72,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.5655302654592097,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,5,0
73,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.497431323571451,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,9,0
74,sub-07,rh-pericalcarine,0.0,0.0,0.0,1.013389865122321,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,0
75,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.6418878468321265,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,6,0
76,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.5674156557716598,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,7,0
77,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.5930881779169732,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,10,0
78,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.8280802630034617,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,5,0
79,sub-07,rh-pericalcarine,0.1,0.1,0.18181818181818182,0.67905110863921,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,9,0
80,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.7432128215029921,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,0
81,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.695079910724757,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,12,0
82,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.6673551165750554,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,5,0
83,sub-07,rh-pericalcarine,0.0,0.0,0.0,0.5797624353108086,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,9,0
84,sub-07,rh-pericalcarine,0.2,0.2,0.33333333333333337,0.5524690644515817,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,1,4,0
85,sub-07,rh-pericalcarine,0.5,0.06900655593423542,0.4444444444444445,0.7943087488714924,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,3,2
86,sub-07,rh-pericalcarine,0.8333333333333334,-0.16666666666666666,0.0,1.0400947016918127,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,1
87,sub-07,rh-pericalcarine,0.8333333333333334,-0.16666666666666666,0.0,0.8910202626113072,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,1
88,sub-07,rh-pericalcarine,0.6666666666666667,0.14907119849998599,0.4,0.8744061947155082,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,1,2
89,sub-07,rh-pericalcarine,0.6666666666666667,0.16666666666666666,0.5,0.7607394963675316,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,2
90,sub-07,rh-pericalcarine,0.625,0.16666666666666666,0.5,0.8192580289583941,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,2
91,sub-07,rh-pericalcarine,0.3888888888888889,-0.15811388300841897,0.28571428571428575,0.9315601577170725,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,1,2,3
92,sub-07,rh-pericalcarine,0.5952380952380952,0.23809523809523808,0.6153846153846153,0.721631335212218,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,3,2
93,sub-07,rh-pericalcarine,0.4,-0.09759000729485331,0.47058823529411764,0.7769939013817444,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,4,6,3
94,sub-07,rh-pericalcarine,0.8333333333333334,-0.16666666666666666,0.0,0.9541373010629931,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,1
95,sub-07,rh-pericalcarine,0.7222222222222223,0.31622776601683794,0.5714285714285715,0.7772310140059662,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,1,2
96,sub-07,rh-pericalcarine,0.6666666666666667,-0.2581988897471611,0.0,1.03783437359557,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,2
97,sub-07,rh-pericalcarine,0.5,0.0,0.3333333333333333,0.905424120120957,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,1,1,3
98,sub-07,rh-pericalcarine,0.45833333333333337,0.0,0.4444444444444445,0.8498832266811522,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,3
99,sub-07,rh-pericalcarine,0.5208333333333334,0.0,0.5333333333333333,0.7107129516893161,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,4,4,3
100,sub-07,rh-pericalcarine,0.5303030303030303,0.11769797726729993,0.5555555555555556,0.6948434797996619,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,5,6,2
101,sub-07,rh-pericalcarine,1.0,0.0,0.0,0.849746456695388,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,6,0,1,0
102,sub-07,rh-pericalcarine,0.8333333333333334,0.5,0.6666666666666666,0.8193312350984507,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,2,1,1
103,sub-07,rh-pericalcarine,0.7333333333333334,0.3333333333333333,0.625,0.646916189741519,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,5,5,1
104,sub-07,rh-pericalcarine,0.75,0.50709255283711,0.7272727272727272,0.672821944344432,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,4,2,1
105,sub-07,rh-pericalcarine,0.4444444444444445,-0.1690308509457033,0.3636363636363636,0.8202826857889546,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,4,3
106,sub-07,rh-pericalcarine,0.5,-0.15811388300841897,0.28571428571428575,0.9521680623172389,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,1,2,3
107,sub-07,rh-pericalcarine,0.5833333333333334,-0.0890870806374748,0.28571428571428575,0.8145386020992508,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,3,2
108,sub-07,rh-pericalcarine,0.6666666666666667,0.14907119849998599,0.4,0.886841223193173,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,1,2
109,sub-07,rh-pericalcarine,0.5,-0.2182178902359924,0.0,0.899369872642299,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,2,1
110,sub-07,rh-pericalcarine,0.6923076923076923,0.26257545381445874,0.6956521739130435,0.6056728422531356,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,8,5,2
111,sub-07,rh-pericalcarine,0.5,-0.15811388300841897,0.28571428571428575,0.8152262809300517,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,1,2,3
112,sub-07,rh-pericalcarine,0.0,-0.6454972243679028,0.0,1.1294177804290275,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,5
113,sub-07,rh-pericalcarine,0.6666666666666666,0.3563483225498992,0.5714285714285715,0.7440496861526615,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,2,2,1
114,sub-07,rh-pericalcarine,0.8,0.4485426135725303,0.6666666666666665,0.6961054811922183,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,3,2,1
115,sub-07,rh-pericalcarine,0.6666666666666667,0.4444444444444444,0.7777777777777778,0.6614606944409316,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,7,2,2
116,sub-07,rh-pericalcarine,0.16666666666666663,-0.47140452079103173,0.0,1.018073445742283,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,4
117,sub-07,rh-pericalcarine,0.6111111111111112,0.3535533905932738,0.6,0.7391334984909679,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,3,3,1
118,sub-07,rh-pericalcarine,0.5714285714285714,0.23809523809523808,0.6153846153846153,0.7119450992775144,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,3,2
119,sub-07,rh-pericalcarine,0.48333333333333334,0.0,0.5555555555555556,0.70989430249996,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,5,3
120,sub-07,rh-pericalcarine,0.4,-0.1,0.4000000000000001,0.9334893935195584,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,3
121,sub-07,rh-pericalcarine,0.55,0.16265001215808886,0.588235294117647,0.7162950319397015,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,5,5,2
122,sub-07,rh-pericalcarine,0.6666666666666667,0.14907119849998599,0.4,0.8859813956669211,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,1,2
123,sub-07,rh-pericalcarine,0.5416666666666667,0.2357022603955158,0.6666666666666666,0.7040662118906749,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,7,5,2
124,sub-07,rh-pericalcarine,0.6000000000000001,0.06900655593423542,0.4444444444444445,0.7762120737733017,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,3,2
125,sub-07,rh-pericalcarine,0.5925925925925926,0.21821789023599236,0.6250000000000001,0.7390817165956062,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,5,4,2
126,sub-07,rh-pericalcarine,0.8,0.4485426135725303,0.6666666666666665,0.7306567834658882,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,3,2,1
127,sub-07,rh-pericalcarine,1.0,0.816496580927726,0.888888888888889,0.5457958584498012,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,4,1,0
128,sub-07,rh-pericalcarine,0.6,-0.31622776601683794,0.0,0.7351566986199617,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,0,1,2
129,sub-07,rh-pericalcarine,1.0,0.0,0.0,0.6301761134381216,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,0
130,sub-07,rh-pericalcarine,1.0,0.6454972243679028,0.6666666666666666,0.654635870063699,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,1,1,0
131,sub-07,rh-pericalcarine,1.0,0.7905694150420948,0.8571428571428571,0.5318967285494438,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,3,1,0
132,sub-07,rh-pericalcarine,0.9,0.55,0.75,0.6191347242171974,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,3,1,1
133,sub-07,rh-pericalcarine,1.0,0.7453559924999299,0.8,0.6191116505931087,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,2,1,0
134,sub-07,rh-pericalcarine,0.8,0.5976143046671968,0.7272727272727273,0.5824785912053331,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,4,3,0
135,sub-07,rh-pericalcarine,0.74,0.28867513459481287,0.625,0.5858256757312172,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,5,5,1
136,sub-07,rh-pericalcarine,1.0,0.0,0.0,0.6493240442631749,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,0
137,sub-07,rh-pericalcarine,1.0,0.7453559924999299,0.8,0.5565746414522856,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,2,1,0
138,sub-07,rh-pericalcarine,1.0,0.0,0.0,0.6856413778256448,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,0
139,sub-07,rh-pericalcarine,1.0,0.6454972243679028,0.6666666666666666,0.6581672324213237,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,1,1,0
140,sub-07,rh-pericalcarine,1.0,0.7905694150420948,0.8571428571428571,0.5975154110757173,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,3,1,0
141,sub-07,rh-pericalcarine,0.9750000000000001,0.8539125638299666,0.9333333333333333,0.47293045624244745,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,7,1,0
142,sub-07,rh-pericalcarine,0.9090909090909091,0.674199862463242,0.8421052631578948,0.5315428335916197,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,8,3,0
143,sub-07,rh-pericalcarine,1.0,0.0,0.0,0.5692741750152318,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,0
144,sub-07,rh-pericalcarine,1.0,0.7453559924999299,0.8,0.6255613180166211,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,2,1,0
145,sub-07,rh-pericalcarine,0.88,0.5773502691896257,0.8421052631578948,0.5382131340695747,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,8,2,1
146,sub-07,rh-pericalcarine,0.9333333333333333,0.6900655593423543,0.8,0.5421793136439813,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,4,2,0
147,sub-07,rh-pericalcarine,0.8,0.4666666666666667,0.7272727272727272,0.5861689883641501,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,2,1
148,sub-07,rh-pericalcarine,0.8666666666666667,0.4666666666666667,0.6666666666666666,0.6136487255217353,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,1,1
149,sub-07,rh-pericalcarine,0.9500000000000001,0.7905694150420948,0.8571428571428571,0.5859195107673295,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,3,1,0
150,sub-07,rh-pericalcarine,1.0,0.6454972243679028,0.6666666666666666,0.6085237175672555,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,1,1,0
151,sub-07,rh-pericalcarine,0.7,0.09128709291752768,0.4,0.6330675879467333,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,1,1,2
152,sub-07,rh-pericalcarine,0.9076923076923077,0.6933752452815364,0.8695652173913044,0.5221217832341116,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,10,3,0
153,sub-07,rh-pericalcarine,0.9333333333333333,0.7453559924999299,0.8,0.592184464095513,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,2,1,0
154,sub-07,rh-pericalcarine,0.19999999999999996,-0.4472135954999579,0.0,0.6323904869796652,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,3
155,sub-07,rh-pericalcarine,0.9500000000000001,0.7905694150420948,0.8571428571428571,0.5814388065866435,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,3,1,0
156,sub-07,rh-pericalcarine,0.9600000000000001,0.816496580927726,0.888888888888889,0.5566557125196994,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,4,1,0
157,sub-07,rh-pericalcarine,0.9777777777777779,0.8606629658238705,0.9411764705882353,0.5290627703413382,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,8,1,0
158,sub-07,rh-pericalcarine,1.0,0.0,0.0,0.7492095497816886,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,0
159,sub-07,rh-pericalcarine,1.0,0.8333333333333334,0.9090909090909091,0.4979340079738261,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,5,1,0
160,sub-07,rh-pericalcarine,0.9714285714285715,0.8451542547285166,0.923076923076923,0.5744900346848091,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,6,1,0
161,sub-07,rh-pericalcarine,0.8800000000000001,0.7559289460184545,0.888888888888889,0.5803381777851996,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,8,2,0
162,sub-07,rh-pericalcarine,0.72,0.408248290463863,0.6666666666666665,0.6730431316078945,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,3,2,1
163,sub-07,rh-pericalcarine,0.9,0.7559289460184545,0.888888888888889,0.5828120009561725,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,8,2,0
164,sub-07,rh-pericalcarine,1.0,0.6454972243679028,0.6666666666666666,0.6359347858843494,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,1,1,0
165,sub-07,rh-pericalcarine,0.7666666666666667,0.42600643361512924,0.761904761904762,0.5931429384872674,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,8,4,1
166,sub-07,rh-pericalcarine,0.76,0.2,0.6,0.6340797142954189,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,3,2,2
167,sub-07,rh-pericalcarine,0.8888888888888888,0.7453559924999299,0.8750000000000001,0.5320572633828194,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,7,2,0
168,sub-07,rh-pericalcarine,1.0,0.816496580927726,0.888888888888889,0.4650739920190026,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,4,1,0
169,sub-07,rh-pericalcarine,0.6799999999999999,0.0,0.3636363636363636,0.7625995258143557,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,6,2,3,4
170,sub-07,rh-pericalcarine,0.9,-0.1,0.0,0.8863255844076469,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,9,0,1,1
