fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-02,lh-superiorparietal,0.375,-0.2608745973749754,0.2222222222222222,0.6713885192568033,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,5
2,sub-02,lh-superiorparietal,0.59375,0.0,0.5,0.6909927257382042,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,4,4
3,sub-02,lh-superiorparietal,0.3472222222222222,-0.04351941398892446,0.4,0.7368351796800581,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,6,3
4,sub-02,lh-superiorparietal,0.3571428571428571,-0.3392857142857143,0.2857142857142857,0.7086349327649658,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,5,5
5,sub-02,lh-superiorparietal,0.625,0.10206207261596577,0.3333333333333333,0.6351327674243968,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,1,3
6,sub-02,lh-superiorparietal,0.4583333333333333,-0.14907119849998599,0.25,0.6542018463729463,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
7,sub-02,lh-superiorparietal,0.3333333333333333,-0.2608745973749754,0.2222222222222222,0.6587923915417883,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,5
8,sub-02,lh-superiorparietal,0.5499999999999999,0.025,0.4000000000000001,0.6638712550861198,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
9,sub-02,lh-superiorparietal,0.35,-0.3,0.20000000000000004,0.6859828067879558,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,4,4
10,sub-02,lh-superiorparietal,0.625,0.25,0.5,0.6545643741568993,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,2,2
11,sub-02,lh-superiorparietal,0.41666666666666663,-0.14907119849998599,0.25,0.6551256588350872,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
12,sub-02,lh-superiorparietal,0.5535714285714286,-0.07142857142857142,0.42857142857142855,0.6864567206499944,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
13,sub-02,lh-superiorparietal,0.375,-0.21821789023599236,0.30769230769230765,0.7087101016447264,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,5,4
14,sub-02,lh-superiorparietal,0.575,0.025,0.4000000000000001,0.6641984918263522,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
15,sub-02,lh-superiorparietal,0.4821428571428571,-0.07142857142857142,0.42857142857142855,0.6911216141943101,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
16,sub-02,lh-superiorparietal,0.609375,0.25,0.625,0.6887205441071066,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,3,3
17,sub-02,lh-superiorparietal,0.484375,0.0,0.42857142857142855,0.6983016935665253,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,5,3
18,sub-02,lh-superiorparietal,0.42500000000000004,-0.22360679774997896,0.4210526315789474,0.7230927442914064,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,6,5
19,sub-02,lh-superiorparietal,0.6625,0.125,0.5555555555555556,0.6934440387167754,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,5,3
20,sub-02,lh-superiorparietal,0.5972222222222222,0.18055555555555555,0.5882352941176471,0.690864678306915,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,4,3
21,sub-02,lh-superiorparietal,0.40625,-0.125,0.25,0.6797352586838911,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,3,3
22,sub-02,lh-superiorparietal,0.25,-0.5163977794943222,0.14285714285714288,0.7205182724969852,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,7,5
23,sub-02,lh-superiorparietal,0.625,0.31754264805429416,0.5,0.662236179370485,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,2,3,1
24,sub-02,lh-superiorparietal,0.4861111111111111,0.18055555555555555,0.5882352941176471,0.7140696571407745,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,4,3
25,sub-02,lh-superiorparietal,0.28125,-0.47809144373375745,0.18181818181818182,0.7013719963421533,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,6
26,sub-02,lh-superiorparietal,0.6022727272727273,0.2584432806109095,0.6666666666666666,0.7003293934720404,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,7,4,3
27,sub-02,lh-superiorparietal,0.3611111111111111,-0.2916666666666667,0.35294117647058826,0.7208946885766884,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,6,5
28,sub-02,lh-superiorparietal,0.425,-0.22360679774997896,0.4210526315789474,0.7258132659153949,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,6,5
29,sub-02,lh-superiorparietal,0.08333333333333333,-0.6708203932499369,0.0,0.6911682440743464,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,3,6
30,sub-02,lh-superiorparietal,0.43749999999999994,-0.1,0.4444444444444445,0.7346257354777629,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,4
31,sub-02,lh-superiorparietal,0.5,-0.25,0.0,0.6417718989749235,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,0,2,2
32,sub-02,lh-superiorparietal,0.75,0.13483997249264842,0.4615384615384615,0.6779287481652689,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,5,2
33,sub-02,lh-superiorparietal,0.4583333333333333,-0.08206099398622181,0.4761904761904762,0.7232880302346201,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,7,4
34,sub-02,lh-superiorparietal,0.390625,-0.1259881576697424,0.39999999999999997,0.7091609717292547,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
35,sub-02,lh-superiorparietal,0.46875,0.0,0.28571428571428575,0.6695334370674578,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,1,3,2
36,sub-02,lh-superiorparietal,0.4666666666666667,0.09607689228305229,0.6428571428571429,0.7423873318396064,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,9,6,4
37,sub-02,lh-superiorparietal,0.46428571428571425,-0.07142857142857142,0.42857142857142855,0.6954377384363138,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
38,sub-02,lh-superiorparietal,0.5357142857142857,0.05455447255899809,0.4615384615384615,0.6861577634350317,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,4,3
39,sub-02,lh-superiorparietal,0.34375,-0.3535533905932738,0.2,0.6767711831600395,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,5
40,sub-02,lh-superiorparietal,0.3333333333333333,-0.2608745973749754,0.2222222222222222,0.6601116522971308,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,5
41,sub-02,lh-superiorparietal,0.45,-0.1,0.4444444444444445,0.7136626759155572,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,4
42,sub-02,lh-superiorparietal,0.3333333333333333,-0.38575837490522974,0.2,0.6638233256499805,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,6
43,sub-02,lh-superiorparietal,0.8125,0.6324555320336759,0.6666666666666666,0.6344543630632961,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,2,2,0
44,sub-02,lh-superiorparietal,0.46428571428571425,-0.07142857142857142,0.42857142857142855,0.6932307865206369,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
45,sub-02,lh-superiorparietal,0.125,-0.5,0.0,0.6393993378284374,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,1,6
46,sub-02,lh-superiorparietal,0.48750000000000004,-0.20385887657505022,0.3529411764705882,0.7077754017795241,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,7,4
47,sub-02,lh-superiorparietal,0.5416666666666666,0.125,0.5,0.684950691597342,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,3,3
48,sub-02,lh-superiorparietal,0.6428571428571429,0.3392857142857143,0.6666666666666666,0.6824880215111316,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,2,3
49,sub-02,lh-superiorparietal,0.3333333333333333,-0.3373495424699933,0.16666666666666666,0.6445168424431099,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,8
50,sub-02,lh-superiorparietal,0.6590909090909091,0.2584432806109095,0.5882352941176471,0.6693074375288848,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,5,3,4
51,sub-02,lh-superiorparietal,0.4646464646464646,-0.1919191919191919,0.39999999999999997,0.6927674187493167,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,5,7
52,sub-02,lh-superiorparietal,0.42857142857142855,-0.20385887657505022,0.3529411764705882,0.6762655321730962,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,7
53,sub-02,lh-superiorparietal,0.8636363636363635,0.27247463045653303,0.4,0.6141780115720835,None + Linear-SVM,unconscious,unconscious,False,Image,False,9,1,1,2
54,sub-02,lh-superiorparietal,0.7878787878787878,0.4403855060505443,0.5714285714285715,0.6321674151208393,None + Linear-SVM,unconscious,unconscious,False,Image,False,9,2,1,2
55,sub-02,lh-superiorparietal,0.696969696969697,0.3373495424699933,0.5,0.632220679680065,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,2,1,3
56,sub-02,lh-superiorparietal,0.6727272727272727,0.22084711628963774,0.5,0.6415878494710561,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,3,2,4
57,sub-02,lh-superiorparietal,0.4181818181818182,-0.050964719143762556,0.3333333333333333,0.6616941123381417,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,3,5
58,sub-02,lh-superiorparietal,0.7045454545454545,0.3181818181818182,0.5,0.6316450089218323,None + Linear-SVM,unconscious,unconscious,False,Image,False,9,2,2,2
59,sub-02,lh-superiorparietal,0.4545454545454546,-0.10050378152592121,0.2222222222222222,0.6358351449390431,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,1,2,5
60,sub-02,lh-superiorparietal,0.6363636363636364,0.16116459280507606,0.4615384615384615,0.6640187832809022,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,3,4,3
61,sub-02,lh-superiorparietal,0.5454545454545454,-0.11396057645963795,0.375,0.669317302854259,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,4,6
62,sub-02,lh-superiorparietal,0.6181818181818183,0.12727272727272726,0.4000000000000001,0.6514141978159258,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,2,3,3
63,sub-02,lh-superiorparietal,0.6883116883116883,0.20385887657505022,0.5333333333333333,0.6649640654094044,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,4,3,4
64,sub-02,lh-superiorparietal,0.6704545454545454,0.3522727272727273,0.625,0.6718461024950243,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,5,3,3
65,sub-02,lh-superiorparietal,0.5909090909090908,-0.044946657497549475,0.4444444444444445,0.6717945831116338,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,6
66,sub-02,lh-superiorparietal,0.4727272727272728,-0.14545454545454545,0.4000000000000001,0.694976415657713,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,6,6
67,sub-02,lh-superiorparietal,0.7454545454545455,0.5229577884350213,0.7368421052631577,0.6775406744469,None + Linear-SVM,unconscious,unconscious,False,Image,False,9,7,3,2
68,sub-02,lh-superiorparietal,0.6767676767676768,0.28721347895177635,0.5882352941176471,0.6711721410087821,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,5,4,3
69,sub-02,lh-superiorparietal,0.49999999999999994,0.12309149097933272,0.4,0.6541957418849904,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,2,2,4
70,sub-02,lh-superiorparietal,0.42045454545454547,0.011631052629980886,0.39999999999999997,0.6838784889435338,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,3,5,4
71,sub-02,lh-superiorparietal,0.6545454545454545,-0.034815531191139566,0.4,0.6407075676983996,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,2,7
72,sub-02,lh-superiorparietal,0.6565656565656566,0.3939393939393939,0.6666666666666666,0.6824165388764687,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,6,3,3
73,sub-02,lh-superiorparietal,0.3181818181818182,-0.43082021842766455,0.15384615384615383,0.6508243462627049,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,8
74,sub-02,lh-superiorparietal,0.6942148760330579,0.3651483716701107,0.6666666666666666,0.6802368089880394,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,7,4,3
75,sub-02,lh-superiorparietal,0.5656565656565656,0.1919191919191919,0.5555555555555556,0.6824177481962611,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,5,4,4
76,sub-02,lh-superiorparietal,0.5363636363636364,0.03739787960033829,0.4444444444444445,0.6924146601256446,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,4,6,4
77,sub-02,lh-superiorparietal,0.1515151515151515,-0.6030226891555273,0.0,0.6463199714467853,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,3,8
78,sub-02,lh-superiorparietal,0.6090909090909091,0.13762047064079508,0.5263157894736842,0.6917223026863433,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,5,5,4
79,sub-02,lh-superiorparietal,0.5909090909090908,-0.10112997936948631,0.2,0.6206562104142618,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,1,7
80,sub-02,lh-superiorparietal,0.8409090909090908,0.45361105256925455,0.6666666666666666,0.665027347561618,None + Linear-SVM,unconscious,unconscious,False,Image,False,9,5,3,2
81,sub-02,lh-superiorparietal,0.5151515151515151,0.045454545454545456,0.5217391304347826,0.7048212559514693,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,6,6,5
82,sub-02,lh-superiorparietal,0.5568181818181819,0.13636363636363635,0.5,0.6819834054336337,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,4,4,4
83,sub-02,lh-superiorparietal,0.4772727272727273,0.07537783614444091,0.28571428571428575,0.6455495553352634,None + Linear-SVM,unconscious,unconscious,False,Image,False,9,1,3,2
84,sub-02,lh-superiorparietal,0.5757575757575757,0.2335496832484569,0.6428571428571429,0.7186483526163923,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,9,6,4
85,sub-02,lh-superiorparietal,0.5974025974025975,0.16116459280507606,0.4615384615384615,0.6646389765737015,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,3,4,3
86,sub-02,lh-superiorparietal,0.6883116883116883,0.2987012987012987,0.5714285714285714,0.6636541480919221,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,4,3,3
87,sub-02,lh-superiorparietal,0.38636363636363635,-0.2618924633082486,0.18181818181818182,0.6493194608790289,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,3,6
88,sub-02,lh-superiorparietal,0.5454545454545454,-0.025949964805384102,0.25,0.6364408988362753,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,1,2,4
89,sub-02,lh-superiorparietal,0.5454545454545455,0.045454545454545456,0.5,0.6921158679364312,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,5,5,5
90,sub-02,lh-superiorparietal,0.3939393939393939,-0.4403855060505443,0.15384615384615383,0.6366004820497194,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,9
91,sub-02,lh-superiorparietal,0.8636363636363636,0.6504436355879909,0.6666666666666666,0.6246932298338405,None + Linear-SVM,unconscious,unconscious,False,Image,False,11,2,2,0
92,sub-02,lh-superiorparietal,0.6233766233766234,0.20385887657505022,0.5333333333333333,0.6674216895540037,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,4,3,4
93,sub-02,lh-superiorparietal,0.09090909090909094,-0.5222329678670935,0.0,0.614852060426522,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,1,9
94,sub-02,lh-superiorparietal,0.509090909090909,-0.05504818825631803,0.4210526315789474,0.6871620213477048,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,4,6,5
95,sub-02,lh-superiorparietal,0.5606060606060606,0.13241022442571243,0.4615384615384615,0.6637903134309235,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,3,3,4
96,sub-02,lh-superiorparietal,0.7142857142857143,0.4332001127219817,0.6666666666666666,0.665979146872139,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,5,2,3
97,sub-02,lh-superiorparietal,0.29166666666666663,-0.38575837490522974,0.2,0.6788147938004987,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,6
98,sub-02,lh-superiorparietal,0.609375,0.1259881576697424,0.5333333333333333,0.6920839419656631,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,3
99,sub-02,lh-superiorparietal,0.375,-0.04351941398892446,0.4,0.7215447304007877,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,6,3
100,sub-02,lh-superiorparietal,0.375,-0.21821789023599236,0.30769230769230765,0.701167610854671,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,5,4
101,sub-02,lh-superiorparietal,0.8125,0.375,0.5,0.629691890271224,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,1,1,1
102,sub-02,lh-superiorparietal,0.5,-0.14907119849998599,0.25,0.6565571228876226,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
103,sub-02,lh-superiorparietal,0.375,-0.4629100498862757,0.0,0.6595287839212272,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,0,3,4
104,sub-02,lh-superiorparietal,0.5750000000000001,0.025,0.4000000000000001,0.6659465299163562,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
105,sub-02,lh-superiorparietal,0.325,-0.21957751641341997,0.3333333333333333,0.6923000229052705,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,5
106,sub-02,lh-superiorparietal,0.65625,0.25,0.5,0.6557113954366169,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,2,2
107,sub-02,lh-superiorparietal,0.4583333333333333,-0.2608745973749754,0.2222222222222222,0.6589442093357362,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,5
108,sub-02,lh-superiorparietal,0.5357142857142857,-0.07142857142857142,0.42857142857142855,0.6862316054293923,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
109,sub-02,lh-superiorparietal,0.4107142857142857,-0.07142857142857142,0.42857142857142855,0.7060077253539402,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
110,sub-02,lh-superiorparietal,0.525,0.025,0.4000000000000001,0.6734335218530881,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
111,sub-02,lh-superiorparietal,0.5357142857142857,-0.07142857142857142,0.42857142857142855,0.6885358673051766,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
112,sub-02,lh-superiorparietal,0.546875,0.0,0.5,0.6994994839532258,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,4,4
113,sub-02,lh-superiorparietal,0.484375,-0.1259881576697424,0.39999999999999997,0.7058276120248865,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
114,sub-02,lh-superiorparietal,0.4875,-0.1,0.4444444444444445,0.7203017612091929,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,4
115,sub-02,lh-superiorparietal,0.625,0.125,0.5555555555555556,0.6979240344936177,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,5,3
116,sub-02,lh-superiorparietal,0.5277777777777778,0.07042952122737638,0.5,0.6960480494885093,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,5,3
117,sub-02,lh-superiorparietal,0.34375,-0.23904572186687872,0.22222222222222224,0.6840610653377066,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,3,4
118,sub-02,lh-superiorparietal,0.375,-0.2581988897471611,0.28571428571428575,0.7150746078188166,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,6,4
119,sub-02,lh-superiorparietal,0.575,0.31754264805429416,0.5,0.66700534499098,None + Linear-SVM,unconscious,unconscious,False,Image,False,7,2,3,1
120,sub-02,lh-superiorparietal,0.48611111111111116,-0.05555555555555555,0.47058823529411764,0.7144979138030765,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,5,4
121,sub-02,lh-superiorparietal,0.28125,-0.47809144373375745,0.18181818181818182,0.6888785390070103,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,6
122,sub-02,lh-superiorparietal,0.6363636363636364,0.1685499656158105,0.6,0.6986105821003179,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,5,3
123,sub-02,lh-superiorparietal,0.4444444444444444,-0.05555555555555555,0.47058823529411764,0.7143849091723821,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,5,4
124,sub-02,lh-superiorparietal,0.5,-0.1,0.4444444444444445,0.7219687303964623,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,4
125,sub-02,lh-superiorparietal,0.125,-0.6708203932499369,0.0,0.6836238490101972,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,3,6
126,sub-02,lh-superiorparietal,0.42499999999999993,-0.1,0.4444444444444445,0.7402096208526583,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,4
127,sub-02,lh-superiorparietal,0.5625,0.0,0.28571428571428575,0.6405334540986429,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,1,4
128,sub-02,lh-superiorparietal,0.703125,0.13483997249264842,0.4615384615384615,0.6811009833480938,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,5,2
129,sub-02,lh-superiorparietal,0.44791666666666663,-0.16666666666666666,0.4,0.7290403552959079,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,8,4
130,sub-02,lh-superiorparietal,0.421875,-0.1259881576697424,0.39999999999999997,0.7096493031446136,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
131,sub-02,lh-superiorparietal,0.40625,0.0,0.28571428571428575,0.6792830512448811,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,1,3,2
132,sub-02,lh-superiorparietal,0.4333333333333333,-0.03178208630818641,0.5384615384615385,0.7469227450428668,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,7,8,4
133,sub-02,lh-superiorparietal,0.5,-0.07142857142857142,0.42857142857142855,0.6963361425894115,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
134,sub-02,lh-superiorparietal,0.5714285714285714,0.05455447255899809,0.4615384615384615,0.68655365162208,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,4,3
135,sub-02,lh-superiorparietal,0.25,-0.3535533905932738,0.2,0.6900080167365217,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,5
136,sub-02,lh-superiorparietal,0.29166666666666663,-0.2608745973749754,0.2222222222222222,0.6672336567570013,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,5
137,sub-02,lh-superiorparietal,0.4625,-0.1,0.4444444444444445,0.7163322390250983,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,4
138,sub-02,lh-superiorparietal,0.29166666666666663,-0.5416666666666666,0.18181818181818182,0.6648087085832765,None + Linear-SVM,unconscious,unconscious,False,Image,False,1,1,2,7
139,sub-02,lh-superiorparietal,0.8125,0.6324555320336759,0.6666666666666666,0.6363712344928416,None + Linear-SVM,unconscious,unconscious,False,Image,False,8,2,2,0
140,sub-02,lh-superiorparietal,0.5357142857142857,-0.07142857142857142,0.42857142857142855,0.6886415423400721,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
141,sub-02,lh-superiorparietal,0.0,-0.6614378277661476,0.0,0.6374412212810088,None + Linear-SVM,unconscious,unconscious,False,Image,False,1,0,1,7
142,sub-02,lh-superiorparietal,0.475,-0.20385887657505022,0.3529411764705882,0.7107059092554944,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,7,4
143,sub-02,lh-superiorparietal,0.4375,-0.16666666666666666,0.3333333333333333,0.6982218210961462,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,4,4
144,sub-02,lh-superiorparietal,0.6071428571428571,0.05455447255899809,0.4615384615384615,0.6823628110166529,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,4,3
145,sub-02,lh-superiorparietal,0.2962962962962963,-0.29277002188455997,0.2,0.6811711641083614,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,6
146,sub-02,lh-superiorparietal,0.5138888888888888,0.05555555555555555,0.5,0.6980611047110179,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,4
147,sub-02,lh-superiorparietal,0.308641975308642,-0.11396057645963795,0.375,0.7308218343661533,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,6,4
148,sub-02,lh-superiorparietal,0.31746031746031744,-0.2698412698412698,0.2857142857142857,0.706130230895989,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,5,5
149,sub-02,lh-superiorparietal,0.6666666666666667,0.1336306209562122,0.3333333333333333,0.6476900544799625,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,1,1,3
150,sub-02,lh-superiorparietal,0.48148148148148145,-0.09759000729485331,0.25,0.6590233310860159,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,2,4
151,sub-02,lh-superiorparietal,0.37037037037037035,-0.19245008972987526,0.2222222222222222,0.6656186121864217,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,5
152,sub-02,lh-superiorparietal,0.4666666666666667,-0.04303314829119352,0.3636363636363636,0.6712196779277784,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,4
153,sub-02,lh-superiorparietal,0.22222222222222224,-0.34426518632954817,0.1818181818181818,0.6968168028927944,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,4,5
154,sub-02,lh-superiorparietal,0.5555555555555556,0.15811388300841897,0.4444444444444445,0.661506219098314,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,2,3
155,sub-02,lh-superiorparietal,0.4074074074074074,-0.09759000729485331,0.25,0.6646067948821147,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,2,4
156,sub-02,lh-superiorparietal,0.4761904761904762,-0.1259881576697424,0.39999999999999997,0.6912535488221774,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,5
157,sub-02,lh-superiorparietal,0.33333333333333337,-0.16265001215808886,0.30769230769230765,0.7100086967586887,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,5,4
158,sub-02,lh-superiorparietal,0.5333333333333333,-0.04303314829119352,0.3636363636363636,0.6718984121179862,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,4
159,sub-02,lh-superiorparietal,0.4761904761904762,-0.015873015873015872,0.42857142857142855,0.6870799008558912,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,4,4
160,sub-02,lh-superiorparietal,0.47222222222222227,0.05555555555555555,0.5,0.7046479948102073,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,4
161,sub-02,lh-superiorparietal,0.4583333333333333,0.04351941398892446,0.42857142857142855,0.6980679463431929,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,5,3
162,sub-02,lh-superiorparietal,0.37777777777777777,-0.15555555555555556,0.4210526315789474,0.7185047562632049,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,5
163,sub-02,lh-superiorparietal,0.6,0.26666666666666666,0.631578947368421,0.6955415257085472,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,6,4,3
164,sub-02,lh-superiorparietal,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.6931176887483894,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,4,4
