fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,rh-inferiorparietal,0.5415213497973419,0.07097336651641199,0.5714285714285714,0.7524879627139687,None + Linear-SVM,conscious,conscious,False,Image,False,23,32,29,19
2,sub-01,rh-inferiorparietal,0.5621642002073711,-0.04032782654131894,0.5090909090909091,0.7153746314529268,None + Linear-SVM,conscious,conscious,False,Image,False,21,28,33,21
3,sub-01,rh-inferiorparietal,0.6052408332547837,0.05488119228676527,0.5585585585585586,0.7069728772850636,None + Linear-SVM,conscious,conscious,False,Image,False,23,31,30,19
4,sub-01,rh-inferiorparietal,0.6599113959845414,0.1661160416303048,0.6194690265486725,0.6572302118802594,None + Linear-SVM,conscious,conscious,False,Image,False,25,35,26,17
5,sub-01,rh-inferiorparietal,0.5779998114808182,-0.04757133755694641,0.5178571428571428,0.7191850565601071,None + Linear-SVM,conscious,conscious,False,Image,False,20,29,32,22
6,sub-01,rh-inferiorparietal,0.5990197002545008,0.04757133755694641,0.5663716814159292,0.6884959237121087,None + Linear-SVM,conscious,conscious,False,Image,False,22,32,29,20
7,sub-01,rh-inferiorparietal,0.6090112168913188,0.022686133608512515,0.5321100917431192,0.6792357758596715,None + Linear-SVM,conscious,conscious,False,Image,False,23,29,32,19
8,sub-01,rh-inferiorparietal,0.6197568102554435,0.08708623891473255,0.5840707964601771,0.7038037253850452,None + Linear-SVM,conscious,conscious,False,Image,False,23,33,28,19
9,sub-01,rh-inferiorparietal,0.539541898388161,-0.05652307865171762,0.4954128440366972,0.7295889099758943,None + Linear-SVM,conscious,conscious,False,Image,False,21,27,34,21
10,sub-01,rh-inferiorparietal,0.58949948157225,0.07988750400566037,0.591304347826087,0.7003209670510279,None + Linear-SVM,conscious,conscious,False,Image,False,22,34,27,20
11,sub-01,rh-inferiorparietal,0.5698934866622679,-0.0007681490769775036,0.5272727272727273,0.7267859438626738,None + Linear-SVM,conscious,conscious,False,Image,False,22,29,32,20
12,sub-01,rh-inferiorparietal,0.612593081346027,0.05488119228676527,0.5585585585585586,0.6827362874105304,None + Linear-SVM,conscious,conscious,False,Image,False,23,31,30,19
13,sub-01,rh-inferiorparietal,0.5502874917522858,-0.1194471814700018,0.4727272727272728,0.7414935834249538,None + Linear-SVM,conscious,conscious,False,Image,False,19,26,35,23
14,sub-01,rh-inferiorparietal,0.6033556414365161,-0.02417842737109239,0.5225225225225224,0.695135587091546,None + Linear-SVM,conscious,conscious,False,Image,False,21,29,32,21
15,sub-01,rh-inferiorparietal,0.5949665378452258,0.022686133608512515,0.5321100917431192,0.7196697414107439,None + Linear-SVM,conscious,conscious,False,Image,False,23,29,32,19
16,sub-01,rh-inferiorparietal,0.6037326798001696,0.10323804702895004,0.5964912280701753,0.6949816227133047,None + Linear-SVM,conscious,conscious,False,Image,False,23,34,27,19
17,sub-01,rh-inferiorparietal,0.5479310019794514,0.015351382457836437,0.5405405405405406,0.7702034490925046,None + Linear-SVM,conscious,conscious,False,Image,False,22,30,31,20
18,sub-01,rh-inferiorparietal,0.6682062399849185,0.13394081194462293,0.5945945945945946,0.66423685595861,None + Linear-SVM,conscious,conscious,False,Image,False,25,33,28,17
19,sub-01,rh-inferiorparietal,0.654538599302479,0.12660114027251868,0.6017699115044247,0.6629889235561653,None + Linear-SVM,conscious,conscious,False,Image,False,24,34,27,18
20,sub-01,rh-inferiorparietal,0.6448298614384014,0.1822976666868077,0.631578947368421,0.6678599653969248,None + Linear-SVM,conscious,conscious,False,Image,False,25,36,25,17
21,sub-01,rh-inferiorparietal,0.6429446696201339,0.03145846515862585,0.5535714285714285,0.6704685205240333,None + Linear-SVM,conscious,conscious,False,Image,False,22,31,30,20
22,sub-01,rh-inferiorparietal,0.6053350928456971,0.07097336651641199,0.5714285714285714,0.7122808001040684,None + Linear-SVM,conscious,conscious,False,Image,False,23,32,29,19
23,sub-01,rh-inferiorparietal,0.536808370251673,-0.04757133755694641,0.5178571428571428,0.7175105401985685,None + Linear-SVM,conscious,conscious,False,Image,False,20,29,32,22
24,sub-01,rh-inferiorparietal,0.6315392591196154,0.03145846515862585,0.5535714285714285,0.6827392632442765,None + Linear-SVM,conscious,conscious,False,Image,False,22,31,30,20
25,sub-01,rh-inferiorparietal,0.5105099443868413,-0.2149415031721779,0.4220183486238532,0.7600111456971296,None + Linear-SVM,conscious,conscious,False,Image,False,17,23,38,25
26,sub-01,rh-inferiorparietal,0.650768215665944,0.07097336651641199,0.5714285714285714,0.6700689067338608,None + Linear-SVM,conscious,conscious,False,Image,False,23,32,29,19
27,sub-01,rh-inferiorparietal,0.6267320199830333,0.08708623891473255,0.5840707964601771,0.6850456559298129,None + Linear-SVM,conscious,conscious,False,Image,False,23,33,28,19
28,sub-01,rh-inferiorparietal,0.5495334150249788,0.03145846515862585,0.5535714285714285,0.718914147277485,None + Linear-SVM,conscious,conscious,False,Image,False,22,31,30,20
29,sub-01,rh-inferiorparietal,0.5755490621170705,-0.06370823720002121,0.5045045045045045,0.7169950333488314,None + Linear-SVM,conscious,conscious,False,Image,False,20,28,33,22
30,sub-01,rh-inferiorparietal,0.6111791874823264,0.03145846515862585,0.5535714285714285,0.691198266072638,None + Linear-SVM,conscious,conscious,False,Image,False,22,31,30,20
31,sub-01,rh-inferiorparietal,0.6562352719389197,0.14276785685787888,0.6140350877192982,0.6609741140127267,None + Linear-SVM,conscious,conscious,False,Image,False,24,35,26,18
32,sub-01,rh-inferiorparietal,0.6287114713922142,0.10323804702895004,0.5964912280701753,0.6736475012842174,None + Linear-SVM,conscious,conscious,False,Image,False,23,34,27,19
33,sub-01,rh-inferiorparietal,0.621642002073711,0.10323804702895004,0.5964912280701753,0.7151403486627942,None + Linear-SVM,conscious,conscious,False,Image,False,23,34,27,19
34,sub-01,rh-inferiorparietal,0.607597323027618,0.09441100211569409,0.5765765765765766,0.70316829560682,None + Linear-SVM,conscious,conscious,False,Image,False,24,32,29,18
35,sub-01,rh-inferiorparietal,0.5758318408898105,0.07097336651641199,0.5714285714285714,0.7548573897642018,None + Linear-SVM,conscious,conscious,False,Image,False,23,32,29,19
36,sub-01,rh-inferiorparietal,0.64171929493826,0.12660114027251868,0.6017699115044247,0.6615647177276911,None + Linear-SVM,conscious,conscious,False,Image,False,24,34,27,18
37,sub-01,rh-inferiorparietal,0.5894052219813366,-0.07278289047192481,0.48148148148148145,0.725300965931295,None + Linear-SVM,conscious,conscious,False,Image,False,21,26,35,21
38,sub-01,rh-inferiorparietal,0.5800735224809125,-0.1959406713505074,0.38834951456310673,0.7029553217884075,None + Linear-SVM,conscious,conscious,False,Image,False,20,20,41,22
39,sub-01,rh-inferiorparietal,0.572909793571496,-0.1194471814700018,0.4727272727272728,0.7138878314722964,None + Linear-SVM,conscious,conscious,False,Image,False,19,26,35,23
