session 1, vis = '1', n_trials = 16
session 1, vis = '2', n_trials = 9
session 1, vis = '3', n_trials = 7
session 2, vis = '1', n_trials = 14
session 2, vis = '2', n_trials = 11
session 2, vis = '3', n_trials = 7
session 3, vis = '1', n_trials = 13
session 3, vis = '2', n_trials = 9
session 3, vis = '3', n_trials = 10
session 4, vis = '1', n_trials = 14
session 4, vis = '2', n_trials = 9
session 4, vis = '3', n_trials = 8
session 5, vis = '1', n_trials = 14
session 5, vis = '2', n_trials = 13
session 5, vis = '3', n_trials = 5
session 6, vis = '1', n_trials = 11
session 6, vis = '2', n_trials = 14
session 6, vis = '3', n_trials = 6
session 7, vis = '1', n_trials = 12
session 7, vis = '2', n_trials = 14
session 7, vis = '3', n_trials = 6
session 8, vis = '1', n_trials = 14
session 8, vis = '2', n_trials = 11
session 8, vis = '3', n_trials = 7
session 9, vis = '1', n_trials = 13
session 9, vis = '2', n_trials = 12
session 9, vis = '3', n_trials = 7
session 10, vis = '1', n_trials = 15
session 10, vis = '2', n_trials = 6
session 10, vis = '3', n_trials = 11
session 11, vis = '1', n_trials = 15
session 11, vis = '2', n_trials = 7
session 11, vis = '3', n_trials = 10
session 12, vis = '1', n_trials = 16
session 12, vis = '2', n_trials = 6
session 12, vis = '3', n_trials = 10
session 13, vis = '1', n_trials = 14
session 13, vis = '2', n_trials = 12
session 13, vis = '3', n_trials = 6
session 14, vis = '1', n_trials = 18
session 14, vis = '2', n_trials = 6
session 14, vis = '3', n_trials = 8
session 15, vis = '1', n_trials = 13
session 15, vis = '2', n_trials = 11
session 15, vis = '3', n_trials = 8
session 16, vis = '1', n_trials = 16
session 16, vis = '2', n_trials = 10
session 16, vis = '3', n_trials = 6
session 17, vis = '1', n_trials = 14
session 17, vis = '2', n_trials = 8
session 17, vis = '3', n_trials = 10
session 18, vis = '1', n_trials = 16
session 18, vis = '2', n_trials = 4
session 18, vis = '3', n_trials = 12
session 19, vis = '1', n_trials = 10
session 19, vis = '2', n_trials = 15
session 19, vis = '3', n_trials = 5
session 20, vis = '1', n_trials = 13
session 20, vis = '2', n_trials = 9
session 20, vis = '3', n_trials = 7
session 21, vis = '1', n_trials = 12
session 21, vis = '2', n_trials = 11
session 21, vis = '3', n_trials = 8
session 22, vis = '1', n_trials = 11
session 22, vis = '2', n_trials = 12
session 22, vis = '3', n_trials = 7
session 23, vis = '1', n_trials = 14
session 23, vis = '2', n_trials = 11
session 23, vis = '3', n_trials = 7
session 24, vis = '1', n_trials = 12
session 24, vis = '2', n_trials = 12
session 24, vis = '3', n_trials = 6
session 25, vis = '1', n_trials = 15
session 25, vis = '2', n_trials = 8
session 25, vis = '3', n_trials = 9
session 26, vis = '1', n_trials = 13
session 26, vis = '2', n_trials = 13
session 26, vis = '3', n_trials = 6
session 27, vis = '1', n_trials = 13
session 27, vis = '2', n_trials = 15
session 27, vis = '3', n_trials = 3
session 28, vis = '1', n_trials = 16
session 28, vis = '2', n_trials = 6
session 28, vis = '3', n_trials = 10
session 29, vis = '1', n_trials = 14
session 29, vis = '2', n_trials = 7
session 29, vis = '3', n_trials = 10
session 30, vis = '1', n_trials = 16
session 30, vis = '2', n_trials = 4
session 30, vis = '3', n_trials = 12
session 31, vis = '1', n_trials = 15
session 31, vis = '2', n_trials = 10
session 31, vis = '3', n_trials = 7
session 32, vis = '1', n_trials = 14
session 32, vis = '2', n_trials = 6
session 32, vis = '3', n_trials = 12
session 33, vis = '1', n_trials = 17
session 33, vis = '2', n_trials = 2
session 33, vis = '3', n_trials = 12
session 34, vis = '1', n_trials = 15
session 34, vis = '2', n_trials = 7
session 34, vis = '3', n_trials = 10
session 35, vis = '1', n_trials = 16
session 35, vis = '2', n_trials = 6
session 35, vis = '3', n_trials = 9
session 36, vis = '1', n_trials = 14
session 36, vis = '2', n_trials = 6
session 36, vis = '3', n_trials = 11
session 37, vis = '1', n_trials = 13
session 37, vis = '2', n_trials = 13
session 37, vis = '3', n_trials = 6
session 38, vis = '1', n_trials = 16
session 38, vis = '2', n_trials = 7
session 38, vis = '3', n_trials = 9
session 39, vis = '1', n_trials = 16
session 39, vis = '2', n_trials = 8
session 39, vis = '3', n_trials = 8
session 40, vis = '1', n_trials = 12
session 40, vis = '2', n_trials = 15
session 40, vis = '3', n_trials = 5
session 41, vis = '1', n_trials = 15
session 41, vis = '2', n_trials = 7
session 41, vis = '3', n_trials = 10
session 42, vis = '1', n_trials = 13
session 42, vis = '2', n_trials = 12
session 42, vis = '3', n_trials = 7
session 43, vis = '1', n_trials = 13
session 43, vis = '2', n_trials = 14
session 43, vis = '3', n_trials = 5
session 44, vis = '1', n_trials = 14
session 44, vis = '2', n_trials = 12
session 44, vis = '3', n_trials = 6
session 45, vis = '1', n_trials = 14
session 45, vis = '2', n_trials = 10
session 45, vis = '3', n_trials = 8
session 46, vis = '1', n_trials = 14
session 46, vis = '2', n_trials = 12
session 46, vis = '3', n_trials = 5
session 47, vis = '1', n_trials = 15
session 47, vis = '2', n_trials = 10
session 47, vis = '3', n_trials = 7
session 48, vis = '1', n_trials = 15
session 48, vis = '2', n_trials = 8
session 48, vis = '3', n_trials = 8
session 49, vis = '1', n_trials = 12
session 49, vis = '2', n_trials = 13
session 49, vis = '3', n_trials = 5
session 50, vis = '1', n_trials = 10
session 50, vis = '2', n_trials = 12
session 50, vis = '3', n_trials = 7
session 51, vis = '1', n_trials = 15
session 51, vis = '2', n_trials = 11
session 51, vis = '3', n_trials = 4
session 52, vis = '1', n_trials = 13
session 52, vis = '2', n_trials = 14
session 52, vis = '3', n_trials = 5
session 53, vis = '1', n_trials = 13
session 53, vis = '2', n_trials = 10
session 53, vis = '3', n_trials = 8
session 54, vis = '1', n_trials = 12
session 54, vis = '2', n_trials = 11
session 54, vis = '3', n_trials = 7

vis = 1.0,mean frames = 3.00000
vis = 1.0,prob(press 1) = 0.4794, p(press 2) = 0.5206

